#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  89
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  89
#! SET periodic_psi true
   -3.141592654   -3.141592654   16.170009690  -46.626428770   17.951595699
   -3.070995066   -3.141592654   13.085957766  -40.786595554   17.289723957
   -3.000397478   -3.141592654   10.409521724  -34.942017718   17.096762003
   -2.929799890   -3.141592654    8.166997824  -28.454156257   17.481355473
   -2.859202303   -3.141592654    6.406584143  -21.377969272   18.327291677
   -2.788604715   -3.141592654    5.149303456  -14.320425046   19.194542875
   -2.718007127   -3.141592654    4.370050717   -7.894223870   19.550685287
   -2.647409540   -3.141592654    4.013838095   -2.395444929   19.157639091
   -2.576811952   -3.141592654    4.011043902    2.077002378   18.291151442
   -2.506214364   -3.141592654    4.287416549    5.492126275   17.622910810
   -2.435616776   -3.141592654    4.768984276    7.938084494   17.732578732
   -2.365019189   -3.141592654    5.397834707    9.733280417   18.730402432
   -2.294421601   -3.141592654    6.139833663   11.150182021   20.216438072
   -2.223824013   -3.141592654    6.969698679   12.189273246   21.636905703
   -2.153226425   -3.141592654    7.854179627   12.654259203   22.737416492
   -2.082628838   -3.141592654    8.748008610   12.431246939   23.645539384
   -2.012031250   -3.141592654    9.605464666   11.685413471   24.643535959
   -1.941433662   -3.141592654   10.396686591   10.567247810   25.738000784
   -1.870836075   -3.141592654   11.103280865    9.399920227   26.531709685
   -1.800238487   -3.141592654   11.738262357    8.579741122   26.505690699
   -1.729640899   -3.141592654   12.345541666    8.640769032   25.652204468
   -1.659043311   -3.141592654   12.994856119    9.815762574   24.677433920
   -1.588445724   -3.141592654   13.749297985   11.471665798   24.692340095
   -1.517848136   -3.141592654   14.610201615   12.601673349   26.383656936
   -1.447250548   -3.141592654   15.514176684   12.749745654   29.524085025
   -1.376652961   -3.141592654   16.408823340   12.574024591   33.134886387
   -1.306055373   -3.141592654   17.331028307   13.789759539   36.242257583
   -1.235457785   -3.141592654   18.441833645   18.177838220   38.539447297
   -1.164860197   -3.141592654   19.992597263   26.195679546   40.380558356
   -1.094262610   -3.141592654   22.211953117   36.851388406   42.281922491
   -1.023665022   -3.141592654   25.220060144   48.190337659   44.350108473
   -0.953067434   -3.141592654   28.994598401   58.276405056   46.161575294
   -0.882469847   -3.141592654   33.395934756   65.813101256   47.038495742
   -0.811872259   -3.141592654   38.216573554   70.047677340   46.448829856
   -0.741274671   -3.141592654   43.207727832   70.552415962   44.203060436
   -0.670677083   -3.141592654   48.094145249   67.136129792   40.412744083
   -0.600079496   -3.141592654   52.603878308   59.957648005   35.380078042
   -0.529481908   -3.141592654   56.500712424   50.002490835   29.515284850
   -0.458884320   -3.141592654   59.642608739   38.791105513   23.323458272
   -0.388286732   -3.141592654   61.997602069   28.045253219   17.343075161
   -0.317689145   -3.141592654   63.645813103   18.875850981   12.060080146
   -0.247091557   -3.141592654   64.719846783   11.817343682    7.786905136
   -0.176493969   -3.141592654   65.366570767    6.726590112    4.620641660
   -0.105896382   -3.141592654   65.709893117    3.087629080    2.437964857
   -0.035298794   -3.141592654   65.828576500    0.304849457    0.946432772
    0.035298794   -3.141592654   65.759734905   -2.308798673   -0.234875759
    0.105896382   -3.141592654   65.495927769   -5.290245975   -1.522070002
    0.176493969   -3.141592654   64.995839321   -9.048307033   -3.328792795
    0.247091557   -3.141592654   64.191974932  -13.923610006   -6.010993762
    0.317689145   -3.141592654   62.996894789  -20.175164767   -9.776542347
    0.388286732   -3.141592654   61.309019261  -27.865391714  -14.571442100
    0.458884320   -3.141592654   59.035080185  -36.658686911  -19.992127099
    0.529481908   -3.141592654   56.128639732  -45.576204143  -25.309392225
    0.600079496   -3.141592654   52.632391403  -53.073961154  -29.650278377
    0.670677083   -3.141592654   48.709999337  -57.351155250  -32.283311741
    0.741274671   -3.141592654   44.646299255  -56.859945134  -32.845762844
    0.811872259   -3.141592654   40.812583452  -50.817037440  -31.393097622
    0.882469847   -3.141592654   37.590728872  -39.727767487  -28.287207990
    0.953067434   -3.141592654   35.278042197  -25.468551105  -24.063161048
    1.023665022   -3.141592654   34.005442260  -10.723719187  -19.370193234
    1.094262610   -3.141592654   33.718650243    2.155624408  -14.916974304
    1.164860197   -3.141592654   34.241261063   12.179223426  -11.314364051
    1.235457785   -3.141592654   35.383043777   19.877035006   -8.834319274
    1.306055373   -3.141592654   37.024436980   26.551770239   -7.289952386
    1.376652961   -3.141592654   39.131044588   33.126660599   -6.177718164
    1.447250548   -3.141592654   41.699935835   39.508235898   -5.022334103
    1.517848136   -3.141592654   44.683708437   44.651246955   -3.642418919
    1.588445724   -3.141592654   47.944453087   47.132287772   -2.150676342
    1.659043311   -3.141592654   51.256501240   46.006769820   -0.762586074
    1.729640899   -3.141592654   54.361782416   41.361384283    0.396566753
    1.800238487   -3.141592654   57.044915004   34.318190171    1.330502489
    1.870836075   -3.141592654   59.190881960   26.337803659    2.082880023
    1.941433662   -3.141592654   60.776765755   18.633959876    2.649749092
    2.012031250   -3.141592654   61.840034002   11.551288155    3.044101717
    2.082628838   -3.141592654   62.420189120    4.824858165    3.366230634
    2.153226425   -3.141592654   62.525602392   -1.929549204    3.893011307
    2.223824013   -3.141592654   62.142448936   -9.009326187    5.034695905
    2.294421601   -3.141592654   61.245228781  -16.482005215    7.178822740
